#ncbi_taxid	cluster_id	protein_id
1110504	CL:0	1110504.MAGb_1750
1110504	CL:0	1110504.MAGb_1760
1110504	CL:0	1110504.MAGb_1770
1110504	CL:0	1110504.MAGb_1780
1110504	CL:0	1110504.MAGb_1790
1110504	CL:0	1110504.MAGb_1800
1110504	CL:0	1110504.MAGb_1810
1110504	CL:0	1110504.MAGb_1820
1110504	CL:0	1110504.MAGb_1830
1110504	CL:0	1110504.MAGb_1840
1110504	CL:0	1110504.MAGb_1850
1110504	CL:0	1110504.MAGb_1860
1110504	CL:0	1110504.MAGb_1870
1110504	CL:0	1110504.MAGb_1880
1110504	CL:0	1110504.MAGb_1890
1110504	CL:0	1110504.MAGb_1900
1110504	CL:0	1110504.MAGb_1910
1110504	CL:0	1110504.MAGb_1920
1110504	CL:0	1110504.MAGb_1930
1110504	CL:0	1110504.MAGb_1940
1110504	CL:0	1110504.MAGb_1950
1110504	CL:0	1110504.MAGb_1960
1110504	CL:0	1110504.MAGb_1970
1110504	CL:0	1110504.MAGb_1980
1110504	CL:0	1110504.MAGb_1990
1110504	CL:0	1110504.MAGb_2000
1110504	CL:0	1110504.MAGb_2010
1110504	CL:0	1110504.MAGb_2020
1110504	CL:0	1110504.MAGb_2030
1110504	CL:0	1110504.MAGb_2040
1110504	CL:0	1110504.MAGb_2050
1110504	CL:0	1110504.MAGb_2060
1110504	CL:0	1110504.MAGb_2070
1110504	CL:0	1110504.MAGb_2080
1110504	CL:0	1110504.MAGb_2090
1110504	CL:0	1110504.MAGb_2100
1110504	CL:0	1110504.MAGb_2110
1110504	CL:0	1110504.MAGb_2120
1110504	CL:0	1110504.MAGb_2130
1110504	CL:0	1110504.MAGb_2140
1110504	CL:0	1110504.MAGb_2150
1110504	CL:0	1110504.MAGb_2160
1110504	CL:0	1110504.MAGb_2170
1110504	CL:0	1110504.MAGb_2180
1110504	CL:0	1110504.MAGb_2190
1110504	CL:0	1110504.MAGb_2200
1110504	CL:0	1110504.MAGb_2210
1110504	CL:0	1110504.MAGb_2250
1110504	CL:0	1110504.MAGb_2260
1110504	CL:0	1110504.MAGb_2270
1110504	CL:0	1110504.MAGb_2280
1110504	CL:0	1110504.MAGb_2290
1110504	CL:0	1110504.MAGb_2300
1110504	CL:0	1110504.MAGb_2310
1110504	CL:0	1110504.MAGb_2320
1110504	CL:0	1110504.MAGb_2350
1110504	CL:0	1110504.MAGb_2360
1110504	CL:0	1110504.MAGb_2370
1110504	CL:0	1110504.MAGb_2400
1110504	CL:0	1110504.MAGb_2410
1110504	CL:0	1110504.MAGb_2420
1110504	CL:0	1110504.MAGb_2430
1110504	CL:0	1110504.MAGb_2440
1110504	CL:0	1110504.MAGb_2450
1110504	CL:0	1110504.MAGb_2460
1110504	CL:0	1110504.MAGb_2470
1110504	CL:0	1110504.MAGb_2540
1110504	CL:0	1110504.MAGb_2550
1110504	CL:0	1110504.MAGb_2560
1110504	CL:0	1110504.MAGb_2570
1110504	CL:0	1110504.MAGb_2580
1110504	CL:0	1110504.MAGb_2590
1110504	CL:0	1110504.MAGb_2600
1110504	CL:0	1110504.MAGb_2620
1110504	CL:0	1110504.MAGb_2630
1110504	CL:0	1110504.MAGb_2640
1110504	CL:0	1110504.MAGb_2650
1110504	CL:0	1110504.MAGb_2660
1110504	CL:0	1110504.MAGb_2670
1110504	CL:0	1110504.MAGb_2680
1110504	CL:0	1110504.MAGb_2690
1110504	CL:0	1110504.MAGb_2700
1110504	CL:0	1110504.MAGb_2710
1110504	CL:0	1110504.MAGb_2720
1110504	CL:0	1110504.MAGb_2730
1110504	CL:0	1110504.MAGb_2740
1110504	CL:0	1110504.MAGb_2750
1110504	CL:0	1110504.MAGb_2760
1110504	CL:0	1110504.MAGb_2770
1110504	CL:0	1110504.MAGb_2780
1110504	CL:0	1110504.MAGb_2790
1110504	CL:0	1110504.MAGb_2800
1110504	CL:0	1110504.MAGb_2840
1110504	CL:0	1110504.MAGb_2850
1110504	CL:0	1110504.MAGb_2880
1110504	CL:0	1110504.MAGb_2890
1110504	CL:0	1110504.MAGb_2910
1110504	CL:0	1110504.MAGb_2920
1110504	CL:0	1110504.MAGb_2960
1110504	CL:0	1110504.MAGb_2980
1110504	CL:0	1110504.MAGb_2990
1110504	CL:0	1110504.MAGb_3010
1110504	CL:0	1110504.MAGb_3060
1110504	CL:0	1110504.MAGb_3070
1110504	CL:0	1110504.MAGb_3230
1110504	CL:0	1110504.MAGb_3240
1110504	CL:0	1110504.MAGb_3270
1110504	CL:0	1110504.MAGb_3310
1110504	CL:0	1110504.MAGb_3320
1110504	CL:0	1110504.MAGb_3330
1110504	CL:0	1110504.MAGb_3340
1110504	CL:0	1110504.MAGb_3350
1110504	CL:0	1110504.MAGb_3360
1110504	CL:0	1110504.MAGb_3370
1110504	CL:0	1110504.MAGb_3380
1110504	CL:0	1110504.MAGb_3390
1110504	CL:0	1110504.MAGb_3400
1110504	CL:0	1110504.MAGb_3410
1110504	CL:0	1110504.MAGb_3420
1110504	CL:0	1110504.MAGb_3430
1110504	CL:0	1110504.MAGb_3440
1110504	CL:0	1110504.MAGb_3460
1110504	CL:0	1110504.MAGb_3520
1110504	CL:0	1110504.MAGb_3530
1110504	CL:0	1110504.MAGb_3540
1110504	CL:0	1110504.MAGb_3550
1110504	CL:0	1110504.MAGb_3560
1110504	CL:0	1110504.MAGb_3570
1110504	CL:0	1110504.MAGb_3580
1110504	CL:0	1110504.MAGb_3590
1110504	CL:0	1110504.MAGb_3600
1110504	CL:0	1110504.MAGb_3610
1110504	CL:0	1110504.MAGb_3620
1110504	CL:0	1110504.MAGb_3630
1110504	CL:0	1110504.MAGb_3640
1110504	CL:0	1110504.MAGb_3650
1110504	CL:0	1110504.MAGb_3660
1110504	CL:0	1110504.MAGb_3670
1110504	CL:0	1110504.MAGb_3680
1110504	CL:0	1110504.MAGb_3690
1110504	CL:0	1110504.MAGb_3700
1110504	CL:0	1110504.MAGb_3710
1110504	CL:0	1110504.MAGb_3720
1110504	CL:0	1110504.MAGb_3740
1110504	CL:0	1110504.MAGb_3750
1110504	CL:0	1110504.MAGb_3760
1110504	CL:0	1110504.MAGb_3770
1110504	CL:0	1110504.MAGb_3780
1110504	CL:0	1110504.MAGb_3790
1110504	CL:0	1110504.MAGb_3800
1110504	CL:0	1110504.MAGb_3810
